,,BP,LSTM,GRU,BI-LSTM+GOA,BI-LSTM+CMBO,BI-LSTM+DA,BI-LSTM+EFO,BI-LSTM+IEFO
60,BLEU_1,0.7362784967279286,0.7210885262385361,0.7179510822231685,0.7293045870115354,0.7476603016106439,0.7304644940255264,0.7154722766373734,0.7666023998908876
60,BLEU_2,0.5466218978468614,0.5431927735897487,0.5287435900918755,0.5526150850755421,0.569184635636341,0.5356613562418856,0.52406996175063,0.5801255915230248
60,BLEU_3,0.40188918737980484,0.40404401823030534,0.3898187874741062,0.41574946564587634,0.43010586009033297,0.39853336016036556,0.383596204570781,0.4352340370555728
60,BLEU_4,0.1686261466432021,0.1911801879897604,0.18490447517703887,0.21652386285325076,0.21957079661293916,0.18432305937026303,0.16222985595178518,0.2628570437263991
60,CIDER,0.9435626038420829,1.0084011677681286,0.972574326534409,1.0256131512739566,1.10470078863427,1.0275049499227704,0.985283668393105,1.4289043987518397
60,ROUGE,0.566986210994542,0.5680909702517646,0.5606800515318437,0.5793011643725487,0.5937662935065992,0.5907827922060027,0.5715374217383569,0.6274806137949481
60,METEOR,0.30069281262110054,0.3133557646083686,0.3168531722551452,0.32437869267719616,0.3276893304959773,0.32953428063030393,0.31793141701000127,0.3744502391946283
70,BLEU_1,0.7657181233869945,0.7606938648583773,0.7415889555338503,0.7447699051477823,0.7492620625583926,0.7666545403728041,0.7534102514468891,0.7671579554459339
70,BLEU_2,0.5712398256242314,0.5684060410201875,0.5554048665525121,0.5485774554666528,0.5544953920789845,0.5864097138837153,0.5622906109298555,0.5802983672239376
70,BLEU_3,0.4230911871239381,0.4242513967656414,0.4121205975898289,0.4013325418448235,0.41407670280375675,0.44559655614081684,0.4158332997086301,0.43563549656105766
70,BLEU_4,0.1840726608147508,0.20507812837177014,0.19100391811646303,0.1699676314337267,0.19334284472104366,0.23108588728226226,0.1836436576333353,0.2644994255133095
70,CIDER,1.0426348874574403,1.038058742285165,1.065535099341204,1.038830570658577,1.0455359249310279,1.1801374939714973,1.0822995054683655,1.4297372274759228
70,ROUGE,0.5829208339216697,0.5755564583314566,0.5853350039948308,0.5878037666148983,0.5873517327439765,0.6113575434132216,0.586022853120309,0.6282804389697733
70,METEOR,0.31487363269650087,0.308812313304929,0.3253153878714011,0.3210533166383334,0.32610435223945755,0.3470673640353228,0.3258282989626316,0.3744502391946283
80,BLEU_1,0.7481792143680606,0.7321621174458832,0.7509915191451746,0.7435620757276105,0.7541539830713232,0.7384692097328616,0.7406036472562282,0.7682903292437656
80,BLEU_2,0.5565103902630452,0.5526240923083574,0.5672183638770418,0.56021693552427,0.5705109699199263,0.5593328643434032,0.5510109754708621,0.5828307742282872
80,BLEU_3,0.4007476342534173,0.41696857414379906,0.430684821669252,0.42237078886704094,0.4300451735066889,0.41645165349817614,0.4135158331364994,0.43915302236031484
80,BLEU_4,0.19428223625269106,0.2452079060281588,0.2481200096485404,0.24095124959122455,0.2275696179688735,0.18939922817924074,0.20290024315355307,0.2713268137740985
80,CIDER,1.000407257068044,1.0716680010351594,1.0719954352085537,1.0466295823833025,1.0793720573389445,1.0433472751138722,1.0528123028765854,1.463764158745481
80,ROUGE,0.5812053036409519,0.5872595029377187,0.5985577290742448,0.5867913581463604,0.5940638624289871,0.5957045075710159,0.5853872873338778,0.6345122515027916
80,METEOR,0.3251283836671172,0.33437791669833483,0.33142746884557445,0.33013470866956945,0.3359961669887263,0.33426507928249954,0.3346257479135035,0.3779544476485702
90,BLEU_1,0.7441730197897988,0.7459641987270851,0.7396981168809089,0.7363023125888702,0.7446688277587975,0.7662532080209797,0.7497792184731271,0.7684612694146131
90,BLEU_2,0.5551230858534572,0.5768655734759354,0.5696211740051517,0.5657550121453385,0.5664844161240864,0.5869047308982959,0.5689160426786469,0.5832527694241696
90,BLEU_3,0.4169901964404266,0.43754363549915937,0.4354780737405383,0.430480004761461,0.43104044760757054,0.4461236414376688,0.42316479607186086,0.4401717512975542
90,BLEU_4,0.2182155563413366,0.2458623330015115,0.2465225734685954,0.24796582025285605,0.23166471279934894,0.2680307694257058,0.20760726916441577,0.2768842047744733
90,CIDER,1.0843707065849648,1.0961371500296913,1.0508832655828912,1.130499473543657,1.1268258787487984,1.2068774741184252,1.1132354658712549,1.46618956653229
90,ROUGE,0.587558938078605,0.5981293146203632,0.5888109812693587,0.5996979384813915,0.5874562311410968,0.6191202039064708,0.6051086741762883,0.6371892628039967
90,METEOR,0.32603735688631125,0.33321922291008765,0.3269269180243912,0.3407773528393017,0.3302507436415516,0.34893968764590366,0.3318180097224812,0.3779544476485702
