CMBO,SSO,SSA,WHO,SMO,HYBRID
-0.8065486,0.362458473,0.045015916,-0.349431573,-0.015356362,0.316765856
0.395091482,-0.065216491,-0.034285635,0.845188448,-0.000999198,0.142687832
-0.949740639,-0.665723411,-0.063705571,-0.244196152,-0.010792472,-0.692089177
0.536229902,0.202819762,-0.133751535,-0.604552413,-0.007276259,0.651460345
-0.441465404,0.108096306,-0.030231355,-0.264369487,0.003464078,-0.535253857
0.703162747,0.087688947,0.005693892,-0.019724487,-0.004922768,0.05741475
-0.126204482,-0.562844085,0.036437551,-0.237857774,0.0063877,-0.256045857
0.422938505,0.168557374,-0.145636443,-0.609918884,-0.000724328,-0.461806537
-0.425938451,0.234750725,0.047540242,0.609408594,0.001309081,-0.46348358
0.338843144,-0.30169175,0.042487389,0.828427428,0.00922134,-0.476199338
-0.407161551,-0.356674498,0.01005954,-0.269425866,-0.006896511,0.234322426
-0.2905914,0.313297741,0.036243164,-0.453835121,-0.002445602,0.553130718
0.767742826,0.435835263,0.016197514,0.186169786,0.007339691,-0.063130558
0.353738096,-0.087467669,-0.020838076,-0.717553999,0.001096703,-0.200067354
0.761946002,-0.75850036,-0.074404299,0.007755321,0.007947466,0.408186579
-0.253623306,0.621689668,0.028784178,-0.181727613,6.15E-06,0.121306244
0.310993122,0.060145335,0.081408644,-0.62244669,0.008266211,-0.999792013
-0.785007214,0.844805001,-0.011571616,-0.057908706,0.008270143,-0.397672444
-0.492456048,-0.944575118,-0.025635576,0.564030898,-0.002174949,0.49576556
-0.778435119,0.883548049,-0.042702875,0.927327013,-0.002573888,0.240642591
0.277716926,0.230475724,-0.040027726,0.624703411,-0.00142084,-0.806802716
-0.004623529,0.307585275,-0.007261163,-0.71000559,-0.002570242,-0.857522702
-0.163356904,-0.159607374,0.108112166,0.300945562,-0.000989898,0.580228517
0.775278187,-0.083389359,0.031021608,-0.867238038,-0.002805874,-0.21978135
0.101661448,-0.966715781,-0.000367086,-0.102843168,0.000905819,-0.112399286
-0.022764186,0.518037011,-0.092740645,0.619619245,-0.000315855,0.206561449
0.880924093,0.185451601,-0.037723431,0.760076475,-0.010883984,-0.691314086
-0.979398483,0.538315196,0.006176642,0.733079228,0.003939368,-0.268588796
0.911438176,-0.408812863,-0.042467434,-0.034843329,0.013422648,-0.891154078
0.78137465,-0.678751631,0.013126606,-0.487650567,-0.013770071,0.445608349
0.41840117,-0.191694034,-0.057233024,-0.099139926,-0.002147165,-0.925287019
0.14120362,0.742761762,0.012200834,0.191466914,-0.003812653,-0.672098315
0.798634209,0.900224991,-0.002848332,-0.44719691,0.000863305,-0.672518926
-0.219151357,-0.783944627,-0.143576579,-0.425998716,-0.001591476,-0.338506451
0.743827287,-0.483612323,0.065741099,-0.545027438,2.87E-05,-0.854249217
-0.530098771,-0.120881686,-0.081327411,-0.959821724,0.01010065,0.540498206
0.74158299,0.451781079,0.038465969,-0.644360282,0.003238103,-0.796705057
-0.867754949,-0.567552596,0.056531963,0.7129116,0.001172318,-0.92486987
-0.827497771,0.365596343,-0.045088279,0.554750359,0.004980183,0.203379943
